CategoryID,Category Path
175783,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Cappotti, giacche e gilet"
175793,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Felpe e tute"
175791,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Gonne"
182056,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Altro intimo vintage"
182053,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Collant e autoreggenti"
182051,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Corsetti, bustini e guêpiere"
182052,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Reggicalze"
182049,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Reggiseni"
182054,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Slip"
182055,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Sottogonne e sottovesti"
182050,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Intimo vintage > Top e canottiere"
175785,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Jeans"
175786,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Maglioni e cardigan"
175794,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Mare e piscina"
175799,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Matrimonio"
175790,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Pantaloncini"
175796,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Pantaloni"
175795,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > T-shirt, maglie e camicie"
175792,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Tailleur,abiti sartoriali,spezzati"
175787,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Tute intere e tutine"
175784,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Vestiti"
74976,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: scarpe vintage"
175777,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Abiti completi"
48861,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Altro abbigliamento uomo"
175776,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Bermuda"
175775,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Biancheria da notte"
182045,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Calze"
175770,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Camicie casual e maglie"
175772,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Camicie classiche"
175771,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Uomo: abbigliamento vintage > Cappotti e giacche"
